year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2024,al,Doug Dennis,Jose Ramirez,4602,Cle,3B,38,act,"3B,SW,INF",active
2024,al,Doug Dennis,Andrew Benintendi,5386,CWS,OF,7,act,"OF,SW",active
2024,al,Doug Dennis,Matt Wallner,7058,Min,OF,73,act,"OF,SW",active
2024,al,Doug Dennis,Lawrence Butler,8124,Oak,OF,72,act,"OF,SW",active
2024,al,Doug Dennis,Hunter Renfroe,4558,KC,OF,7,act,"OF,SW",active
2024,al,Doug Dennis,Ben Rortvedt,6873,NYM,C,9,act,"C,SW",active
2024,al,Doug Dennis,Mitch Garver,5025,Sea,C,16,act,"C,SW",active
2024,al,Doug Dennis,Dairon Blanco,8003,Tex,UT,0,act,"OF,SW",active
2024,al,Doug Dennis,Anthony Rizzo,3156,FA,INF,110,act,"1B,INF,SW",active
2024,al,Doug Dennis,Manuel Margot,4858,Det,SW,1,act,"OF,SW",active
2024,al,Doug Dennis,Jason Heyward,1968,SD,SW,70,act,"OF,SW",active
2024,al,Doug Dennis,Justin Slaten,8763,Bos,P,0,act,P,active
2024,al,Doug Dennis,Jake Cousins,7652,LAD,P,0,act,P,active
2024,al,Doug Dennis,Jose Quijada,6714,LAA,P,11,act,P,active
2024,al,Doug Dennis,Jacob DeGrom,4563,Tex,P,2,act,P,active
2024,al,Doug Dennis,Austin Voth,5006,Tor,P,0,act,P,active
2024,al,Doug Dennis,Jhoan Duran,6643,Phi,P,24,act,P,active
2024,al,Doug Dennis,Jason Adam,3680,SD,P,6,act,P,active
2024,al,Doug Dennis,Cole Sands,7888,Min,P,0,act,P,active
2024,al,Doug Dennis,Tyler Holton,8201,Det,P,0,act,P,active
2024,al,Doug Dennis,Oswaldo Cabrera,7893,NYY,INF,8,res,"3B,OF,SS,SW,1B,2B,INF",reserved
2024,al,Doug Dennis,Will Wagner,8378,SD,SW,16,res,"UT,2B",reserved
2024,al,Doug Dennis,Ezequiel Duran,7343,Tex,SW,20,dis,"SS,3B,OF,2B,INF,SW,1B",reserved
2024,al,Doug Dennis,Mark Canha,4430,Tex,SW,15,res,"OF,1B,SW,INF",reserved
2024,al,Doug Dennis,Ramon Urias,6726,StL,SW,35,res,"3B,SW,INF,2B",reserved
2024,al,Doug Dennis,Peter Fairbanks,7030,Mia,P,17,dis,P,reserved
2024,al,Jason Collette,Spencer Horwitz,8043,Pit,1B,2,act,"1B,2B,SW",active
2024,al,Jason Collette,Michael Massey,8221,KC,2B,4,act,"2B,SW,INF",active
2024,al,Jason Collette,Willi Castro,6289,Col,SS,10,act,"OF,3B,2B,INF,SS,SW",active
2024,al,Jason Collette,Alex Bregman,4907,ChC,3B,27,act,"3B,SW,INF",active
2024,al,Jason Collette,Wilyer Abreu,8303,Bos,OF,13,act,"OF,SW",active
2024,al,Jason Collette,Brent Rooker,6204,Oak,OF,9,act,"OF,SW",active
2024,al,Jason Collette,Taylor Ward,5398,Bal,OF,19,act,"OF,SW",active
2024,al,Jason Collette,George Springer,3575,Tor,OF,23,act,"OF,SW",active
2024,al,Jason Collette,Carson Kelly,4512,ChC,C,4,act,"C,SW",active
2024,al,Jason Collette,Alejandro Kirk,6935,Tor,C,12,act,"C,SW",active
