P,Jordan Hicks,1,Nick Lodolo,2,Dean Kremer,2,Luis Severino,2,Tanner Houck,3,Marcus Stroman,3,Eduardo Rodriguez,3,Aaron Civale,6,Sean Manaea,2,Walker Buehler,6,Garrett Whitlock,4,Hunter Harvey,1,Chris Paddack,2,Robert Stephenson,1,Erick Fedde,1,P
P,James McArthur,2,Andrew Nardi,1,Steven Matz,1,Louie Varland,2,Reese Olson,4,Yusei Kikuchi,5,Griffin Canning,2,Devin Williams,1,Brayan Bello,2,Gavin Williams,2,Justin Lawrence,5,Logan Allen,1,Jose Quintana,1,Max Scherzer,5,Edward Cabrera,1,P
R,Yennier Cano,,Michael Busch,,Colt Keith,,Taj Bradley,,Matt Manning,,Alex Cobb,,Frankie Montas,,Jackson Merrill,,Tylor Megill,,DJ LeMahieu,,Garrett Crochet,,LaMonte Wade,,Abner Uribe,,Nelson Velazquez,,Paul Skenes,,R
R,John Means,,Johan Rojas,,Clayton Kershaw,,Trevor Megill,,JJ Bleday,,Zack LIttell,,Sean Bouchard,,James Paxton,,Jackson Jobe,,Reynaldo Lopez,,Jasson Dominguez,,Hunter Renfroe,,J.P. France,,Chase Silseth,,JP Sears,,R
R,Ranger Suarez,,Victor Scott,,Michael Wacha,,Alex Verdugo,,Casey Mize,,Cole Irvin,,Clarke Schmidt,,Michael Kopech,,Jon Gray,,Jake Meyers,,Jordan Leasure,,Ross Stripling,,Nolan Schanuel,,Adam Duvall,,Orlando Arcia,,R
R,Jon Berti,,Brendan Rodgers,,Michael Massey,,Dane Dunning,,Ryne Nelson,,Lance Lynn,,Ryan Weathers,,Davis Schneider,,Nick Senzel,,Jason Adam,,Joey Ortiz,,Emmett Sheehan,,Masyn Winn,,Tyler Wells,,Ryan Pressly,,R
R,Ricky Tiedemann,,Jordan Wicks,,Brenton Doyle,,Jordan Lawlar,,Patrick Bailey,,Robbie Ray,,Andrew Abbott,,Jared Jones,,Josiah Gray,,Jhony Brito,,Joe Boyle,,Hector Neris,,Jacob deGrom,,Patrick Sandoval,,John Brebbia,,R
R,Colin Rea,,Graham Ashcraft,,Austin Hays,,Ezequiel Duran,,Jonathan Aranda,,Jose Butto,,Max Meyer,,Mitch Haniger,,Colton Cowser,,Jeffrey Springs,,Colson Montgomery,,Chris Martin,,James Wood,,Nick Martinez,,Jose Urquidy,,R
,,207,,181,,180,,150,,141,,173,,180,,174,,186,,184,,179,,160,,181,,167,,181,
,,53,,79,,80,,110,,115,,87,,80,,86,,74,,76,,81,,100,,79,,93,,79,
,,0.2038461538,,0.3038461538,,0.3076923077,,0.4230769231,,0.4423076923,,0.3346153846,,0.3076923077,,0.3307692308,,0.2846153846,,0.2923076923,,0.3115384615,,0.3846153846,,0.3038461538,,0.3576923077,,0.3038461538,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2624,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1272,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.6735112936,,,,,,
